[2020-01-22 04:44:40,305] INFO [ExpirationReaper-0-Fetch]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,373] INFO [ExpirationReaper-0-Fetch]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,373] INFO [ExpirationReaper-0-Fetch]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,374] INFO [ExpirationReaper-0-Produce]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,409] INFO [ExpirationReaper-0-Produce]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,409] INFO [ExpirationReaper-0-Produce]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,409] INFO [ExpirationReaper-0-DeleteRecords]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,472] INFO [ExpirationReaper-0-DeleteRecords]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,472] INFO [ExpirationReaper-0-DeleteRecords]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,472] INFO [ExpirationReaper-0-ElectLeader]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,474] INFO [ExpirationReaper-0-ElectLeader]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,474] INFO [ExpirationReaper-0-ElectLeader]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-01-22 04:44:40,483] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2020-01-22 04:44:40,484] INFO Shutting down. (kafka.log.LogManager)
[2020-01-22 04:44:40,497] INFO [ProducerStateManager partition=__consumer_offsets-22] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2020-01-22 04:44:40,517] INFO [ProducerStateManager partition=__consumer_offsets-46] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2020-01-22 04:44:40,519] INFO [ProducerStateManager partition=__consumer_offsets-25] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2020-01-22 04:44:40,526] INFO [ProducerStateManager partition=test-0] Writing producer snapshot at offset 14 (kafka.log.ProducerStateManager)
[2020-01-22 04:44:40,531] INFO [ProducerStateManager partition=__consumer_offsets-36] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2020-01-22 04:44:40,534] INFO [ProducerStateManager partition=__consumer_offsets-37] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2020-01-22 04:44:40,547] INFO [ProducerStateManager partition=test2-0] Writing producer snapshot at offset 14 (kafka.log.ProducerStateManager)
[2020-01-22 04:44:40,563] INFO Shutdown complete. (kafka.log.LogManager)
